symbol,exchange,region,company_name,company_name_ko,company_group,security_type,currency,board,yfinance_ticker,finnhub_ticker,adr_ratio,xmkt_reference,listing_price_usd
005930,KRX,KR,Samsung Electronics,삼성전자,samsung-electronics,common,KRW,KOSPI,005930.KS,,,SOXX,
000660,KRX,KR,SK hynix,SK하이닉스,sk-hynix,common,KRW,KOSPI,000660.KS,,,SOXX,
005380,KRX,KR,Hyundai Motor,현대차,hyundai-motor,common,KRW,KOSPI,005380.KS,,,,
035420,KRX,KR,NAVER,네이버,naver,common,KRW,KOSPI,035420.KS,,,,
AAPL,NASDAQ,US,Apple Inc.,애플,apple,common,USD,,AAPL,AAPL,,^N225,
NVDA,NASDAQ,US,NVIDIA Corporation,엔비디아,nvidia,common,USD,,NVDA,NVDA,,SOXX,
PKX,NYSE,US,POSCO Holdings (ADR),포스코홀딩스 ADR,posco-holdings,adr,USD,,PKX,PKX,1,005490:KRX,
035720,KRX,KR,Kakao Corp.,카카오,kakao,common,KRW,KOSPI,035720.KS,,,,
000270,KRX,KR,Kia Corporation,기아,kia,common,KRW,KOSPI,000270.KS,,,,
005490,KRX,KR,POSCO Holdings Inc.,POSCO홀딩스,posco-holdings,common,KRW,KOSPI,005490.KS,,,,
373220,KRX,KR,LG Energy Solution Ltd.,LG에너지솔루션,lg-energy-solution,common,KRW,KOSPI,373220.KS,,,,
006400,KRX,KR,Samsung SDI Co. Ltd.,삼성SDI,samsung-sdi,common,KRW,KOSPI,006400.KS,,,,
051910,KRX,KR,LG Chem Ltd.,LG화학,lg-chem,common,KRW,KOSPI,051910.KS,,,,
012330,KRX,KR,Hyundai Mobis Co. Ltd.,현대모비스,hyundai-mobis,common,KRW,KOSPI,012330.KS,,,,
068270,KRX,KR,Celltrion Inc.,셀트리온,celltrion,common,KRW,KOSPI,068270.KS,,,,
207940,KRX,KR,Samsung Biologics Co. Ltd.,삼성바이오로직스,samsung-biologics,common,KRW,KOSPI,207940.KS,,,,
105560,KRX,KR,KB Financial Group Inc.,KB금융,kb-financial,common,KRW,KOSPI,105560.KS,,,,
055550,KRX,KR,Shinhan Financial Group Co. Ltd.,신한지주,shinhan-financial,common,KRW,KOSPI,055550.KS,,,,
086790,KRX,KR,Hana Financial Group Inc.,하나금융지주,hana-financial,common,KRW,KOSPI,086790.KS,,,,
028260,KRX,KR,Samsung C&T Corporation,삼성물산,samsung-cnt,common,KRW,KOSPI,028260.KS,,,,
034730,KRX,KR,SK Inc.,SK,sk-inc,common,KRW,KOSPI,034730.KS,,,,
259960,KRX,KR,KRAFTON Inc.,크래프톤,krafton,common,KRW,KOSPI,259960.KS,,,,
